type,name,label,required,default,relevant,appearance,constraint,constraint_message::English (en),label::Arabic (ar),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::Arabic (ar),repeat_count
select_one elec_source,second_electricity_source,What is the second most common source of electricity used by your household? ,yes,,"not(selected(${first_electricity_source},'dk'))  or not(selected(${first_electricity_source},'dwta')) or not(selected(${first_electricity_source},'no_electricity'))",quick,. != ${first_electricity_source},Answer must be different than the first common source of electricity,?? ?? ?????? ?????? ?????? ????? ???????? ???? ???????? ??????,??? ?? ???? ??????? ?????? ?? ?????? ????? ????????,,,,,
text,second_electricity_source_other,Other:,yes,,"selected(${second_electricity_source},'other')",,,,???? (???),,,,,,
integer,elec_cuts,"Over the past 7 days, for how many hours per day, on average, has your household experienced power outages from the main network?",yes,,,,. >=0 and . <=24,value between 0 and 24 hours,"???? ?????? ?????? ??????? ? ???? ???? ??? ??????? ???????  ???? ????? ???? ????? ?? ?????? ?????? ????????? ?? ?????? ?????????",??? ??? ? 24 ????,,,Please include hours when the household has needed to run a generator due to a lack of electricity. ,???? ????? ????? ????? ???? ?????? ????? ??? ????? ???? ???? ??? ????????,
begin_group,access_fuel,"For each of the following types of fuel, is your household able to access sufficient fuel to meet its energy needs?",yes,,,,,,"??? ??? ?? ????? ?????? ??????? ? ?? ?????? ????? ?????? ??? ?????? ?????? ?????? ?????????? ?? ??????? ",,,,,,
select_one access_fuel,cooking_fuel,1. Cooking fuel,yes,,,quick,,, ????? ?????,,,,,,
select_one access_fuel,vehicle_fuel,2. Vehicle fuel,yes,,,quick,,,???? ???????,,,,,,
select_one access_fuel,generator_fuel,3. Generator fuel,yes,,,quick,,,???? ????????,,,,,,
select_one access_fuel,heating_fuel,4. Heating fuel,yes,,,quick,,,???? ???????,,,,,,
end_group,,,,,,,,,,,,,,,
select_multiple access_heating,access_heating,Does your household have access to a functional heating system in your own shelter during the winter?,yes,,,,"not(selected(.,'no'))  and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,?? ?????? ????? ?????? ??? ??? ?? ????? ??????? ?? ?????? ????? ??? ???? ??? ???????,??? ???????? ?? ???? ???????? ?? ?????? ????,,,,????? ???????? ,
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,education,Education,yes,,,,,,???????  ,,,,,,
begin_group,children_education,school enrollement ,yes,,${nb_children_male}>0 or ${nb_children_female}>0 or ${nb_youth_male}>0 or ${nb_youth_female}>0,,,,,,,,,,
integer,nb_children_enrolled,How many school aged children (6-17) in your HH are enrolled in school? ,yes,0,,,.<=${calcul_nb_under18} and .>=0,The number specified here can't be higher than the number of persons under 18 in the household,?? ??? ??????? ?? ?? ???????  (?? ??? ??? ??? ?? ???? ) ?? ???? ?????? ?? ????????,?? ???? ?? ???? ????? ?????? ??? ???? ?? ??? ??????? ??? ?? 18 ???? ?? ?????? ,,,School-aged children = ages 6-17,?? ???????: ?? ??? ??? ??? ??? ???? ,
integer,male_enroll,males,yes,0,,,(. <= ${nb_children_enrolled} and . <= (${nb_children_male} + ${nb_youth_male})),The number specified here can't be higher than the number of persons enrolled in the school,??????,????? ?????? ??? ?? ???? ?? ???? ???? ?? ??? ??????? ???????? ?? ???????,,,,,
integer,female_enroll,females,yes,0,,,. <= ${nb_children_enrolled} and . <= (${nb_children_female} + ${nb_youth_female}),The number specified here can't be higher than the number of persons enrolled in the school,??????,????? ?????? ??? ?? ???? ?? ???? ???? ?? ??? ??????? ???????? ?? ???????,,,,,
integer,nb_children_attending,How many of them have regularly attended school during the 2017-2018 academic year? ,yes,0,,,.<=${nb_children_enrolled},The number specified here can't be higher than the number of persons under 18 in the household,?? ???? ???? ??? ?????? ??? ??????? ??????? ???? ????? ??????? 2017 - 2018?,?? ???? ?? ???? ????? ?????? ??? ???? ?? ??? ??????? ??? ?? 18 ???? ?? ?????? ,,,"""regularly"" attending school: children who did not miss  more than 25% of school days",????? ?????? ??????? ???????: ??????? ????? ?? ?????? ???? ?? 25? ?? ???? ???????,
integer,male_attend,males,yes,0,,,.<=${male_enroll},The number specified here can't be higher than the number of male enrolled in the school,??????,????? ?????? ??? ?? ???? ?? ???? ???? ?? ??? ?????? ???????? ?? ???????,,,,,
integer,female_attend,females,yes,0,,,.<=${female_enroll},The number specified here can't be higher than the number of female enrolled in the school,??????,????? ?????? ??? ?? ???? ?? ???? ???? ?? ??? ?????? ???????? ?? ???????,,,,,
end_group,,,,,,,,,,,,,,,
calculate,calc_nb_children_enrolled,,yes,,,,,,,,,${male_enroll}+${female_enroll},,,
note,nb_children_enrolled_err,The sum of male and female children enrolled are different than the number entered above,yes,,${calc_nb_children_enrolled} != ${nb_children_enrolled},,,,?????  ?????? ??????? ???????? ?? ??????? ??????? ?? ????? ???? ?? ?????? ?????,,,,,,
calculate,calc_nb_children_attending,,yes,,,,,,,,,${male_attend}+${female_attend},,,
note,nb_children_attending_err,The sum of male and female children attending school are different than the number entered above,yes,,${calc_nb_children_attending} != ${nb_children_attending},,,,????? ???  ?????? ??????? ????????? ???????? ?? ????? ???? ?? ?????? ?????,,,,,,
select_multiple reasons_noaccess_dropped_school,reasons_noaccess_dropped_school,What are the most cited reasons for not regularly attending and/or dropping out of education services?  ,yes,,((${nb_children_male}+${nb_youth_male}+${nb_children_female}+${nb_youth_female}) - ${nb_children_attending}) >0,,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,?? ?? ??????? ?????? ?????? ???? ???? ? / ?? ??? ????????,??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,reasons_noaccess_dropped_school_other,"if other, please specify",yes,,"selected(${reasons_noaccess_dropped_school}, 'other')",,,, ???? (???),,,,,,
select_multiple nonformat_education,type_nonformal_education,Are the children in your household attending any kind of non- formal (completely out of the formal/informal school system) education?,yes,,${calcul_nb_under18} >0,,"not(selected(.,'none')) and not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,?? ????? ??????? ?? ????? ?? ??? ?? ????? ??????? ??? ?????? (????? ??? ?? ?? ????? ???????? ??????) ?,??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,type_nonformal_education_other,"If other, specify",yes,,"selected(${type_nonformal_education}, 'other')",,,, ???? (???),,,,,,
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,wash,WASH,yes,,,,,,"?????? ??????? ?????? ?????",,,,,,
select_one water_source,water_source,What was the main source of drinking water used by members of this household over the past 30 days?,yes,,,quick,,,?? ?? ?????? ??????? ????? ????? ???? ???????? ????? ??? ?????? ???? ???????? ????? ????????,,,,,,
text,water_source_other,Other: ,yes,,"selected(${water_source},'other')",,,, ????,,,,,,
select_one distance_water_source,distance_water_source,Where is this drinking water source located?,yes,,"not(selected(${water_source},'dk'))",quick,,,??? ??? ???? ???? ????? ????,,,,"If the household obtains water from elsewhere and brings it back, please give the location of the original water source","??? ???? ?????? ??? ?????? ?? ???? ??? ???????? ? ???? ????? ???? ???? ?????? ??????",
text,distance_water_source_other,"if other, please specify",yes,,"selected(${distance_water_source},'other')",,,,???? ???,,,,,,
select_one yes_no_dk_dwta,water_for_other_purpose,"Does your household use a different water source for other purposes, such hygiene?",yes,,,quick,,,"?? ?????? ????? ?????? ??????? ?????? ?????? ???? ? ??? ????????",,,,,,
select_one water_source,water_source_other_purpose,"If yes: What was the main source of water used by members of this household over the past 30 days for other purposes, such  hygiene?",yes,,"selected(${water_for_other_purpose},'yes')",quick,. != ${water_source},,"??? ???? ??????? ???: ?? ?? ?????? ??????? ?????? ???? ??????? ????? ??? ?????? ???? ???????? ????? ??????? ?????? ???? ? ??? ???????",,,,,,
select_one yes_no_dk_dwta,unsufficient_drinking_water,"In the last month, has there been any time when your household did not have a sufficient quantity of drinking water?",yes,,,quick,,,"?? ????? ?????? ? ?? ??? ???? ?? ??? ?? ??? ??? ????? ???? ????? ?? ???? ??????",,,,,,
select_one water_quality,water_quality,How do you describe the quality of the drinking water from the main source the household received during the last 30 days? ,yes,,,quick,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,??? ?????? ????? ???? ????? ?? ?????? ??????? ???? ????????? ?????? ?? ?????? ???? ????????,??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,water_quality_other,Other: ,yes,,"selected(${water_quality},'other')",,,, ????,,,,,,
select_multiple water_treatment,water_treatment,"What methods does your household use, if any, to improve the quality of its drinking water?",yes,,,,"not(selected(.,'no_treatment')) and not(selected(.,'dwta')) and not(selected(.,'dk')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,?? ?? ??????? ???? ?????????? ?????? ????? ???? ??????,??? ???????? ?? ???? ???????? ?? ?????? ????,,,,????? ???????? ,
text,water_treatment_other,Other: ,yes,,"selected(${water_treatment},'other')",,,, ????,,,,,,
select_one access_public_network_water,access_public_network_water,"Over the past 7 days, on how many days did your household have access to water from the public network?",yes,,,quick,,,"???? ?????? ?????? ??????? ? ?? ??? ?????? ???? ???? ???? ????? ??? ?????? ?? ?????? ???????",,,,,,
select_multiple toilet_type,toilet_type,What kind of toilet does your household have access to?,yes,,,,"not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'no_toilet')) and count-selected(.) <= 3 or count-selected(.) = 1",some options can't be selected with other options,?? ??? ??????? ???? ?????? ????? ?????? ?????,??? ???????? ?? ???? ???????? ?? ?????? ????,,,,????? ???????? ,
text,toilet_type_other,Other: ,yes,,"selected(${toilet_type},'other')",,,, ????,,,,,,
select_multiple waste_management,waste_management,How did your household most often dispose of its trash over the past 30 days?,yes,,,,"not(selected(.,'dk')) and not(selected(.,'dwta')) and count-selected(.) <= 3  or count-selected(.) = 1",some options can't be selected with other options,??? ??? ??????? ?? ??????? ?? ??????? ???? ?????? ???? ????????,??? ???????? ?? ???? ???????? ?? ?????? ????,,,,????? ???????? ,
text,waste_management_other,Other: ,yes,,"selected(${waste_management},'other')",,,, ????,,,,,,
select_one frequency_trash_collection,frequency_trash_collection,"If ""Collected by the municipality..."": 
How frequently is your household's trash collected?",yes,,"selected(${waste_management},'assembled_service')",quick,,,"??? ""???? ?? ??? ??????? ..."":
?? ??? ??? ??? ??????? ???????? ?????? ???",,,,,,
text,frequency_trash_collection_other,Other: ,yes,,"selected(${frequency_trash_collection},'other')",,,, ????,,,,,,
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,health,Health,yes,,,,,,?????,,,,,,
select_one yes_no_dk_dwta,healthcare_needed_15days,Have you or anyone in your household been ill in the past 15 days?,yes,,,quick,,,?? ????? ??? ?? ?? ??? ?? ????? ????? ????? ???? ???? ??? ????? ????????,,,,,,
select_one yes_no_dk_dwta,healthcare_received,"If Yes, did you/they go to a health facility to access the needed health care?",yes,,${healthcare_needed_15days} = 'yes',quick,,,"??? ???? ??????? ""???""? ?? ???? ?? ?? ??? ?? ????? ????? ??? ???? ??? ?????? ??? ??????? ?????? ?????????",,,,,,
select_one healthcare_facility_visited,healthcare_facility_visited,"If Yes, what kind of health facility did you/they visit",yes,,${healthcare_needed_15days} = 'yes',quick,,,"??? ???? ??????? ???? ? ?? ?? ??? ?????? ????? ???? ???? ?? ?? ??? ?? ????? ????? ??? ???????",,,,,,
select_multiple healthcare_criteria,healthcare_criteria,What were the criteria of your choice for the healthcare facility (3 reasons maximum)?,yes,,${healthcare_needed_15days} = 'yes',,"count-selected(.)<=3 and not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,?? ?? ?????? ??????? ?????? ????? (3 ????? ??? ????)?,??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,healthcare_criteria_other,"if other, please specify",yes,,"selected(${healthcare_criteria}, 'other')",,,, ???? (???),,,,,,
select_one yes_no_dk_dwta,nohealthaccess,Do you face any challenges accessing health facilities when you need them?,yes,,,quick,,,?? ????? ?? ?????? ?? ?????? ??? ??????? ?????? ????? ????? ??????,,,,,,
select_multiple reasons_nohealthaccess,reasons_nohealthaccess,"If Yes, what are the main reasons for you to have limited or no access to healthcare (3 reasons maximum)?",yes,,"selected(${nohealthaccess}, 'yes')",,"count-selected(.)<=3 and not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,"??? ???? ??????? ???? ?? ?? ??????? ???????? ???? ???? ????? ??? ??????? ?????? ???? ????? ?? ????? (3 ????? ??? ????)",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,reasons_nohealthaccess_other,"If other, specify",yes,,"selected(${reasons_nohealthaccess}, 'other')",,,,???? (???),,,,,,
select_one time_healthcentre,time_healthcentre,How much time does it take you by car to travel from your place of residence to the nearest health service provider?,yes,,,quick,,,?? ?????? ?????? ?? ????? ?? ???? ?????? ??? ???? ???? ???? ?????,,,,,,
integer,nb_currentlypregnant,How many women in the household gave live birth during the 2 last years?,yes,,${calcul_nb_over18_female} >0,,(. >=0 and . <= ${calcul_nb_over18_female}) or .=99,,?? ????? ?? ?????? ???? ???? ??????? ?????????,????? ???? ?? ?????? ???? ?? ??? ???????? ?? ?????? ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
select_multiple pregnancy_consulted,pregnancy_consultedby,who assisted them in the delivery?,yes,,${nb_currentlypregnant} >0 and ${nb_currentlypregnant}!=99,,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,?? ???? ???? ?? ??????? ,??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,pregnancy_consultedby_other,"If other, specify",yes,,"selected(${pregnancy_consultedby}, 'other')",,,, ???? (???),,,,,,
integer,breastfeeding_6months,"Of these women [who gave live birth during the last 2 years], how many fed their children using bottled milk or baby formula until 6 months of age?",yes,,${nb_currentlypregnant} >0,,. <= ${nb_currentlypregnant} or .=99,,"?? ??? ????? ?????? [?????? ???? ??????? ???? ???? ??????? ????????] ? ?? ?? ??? ?????? ????? ??????? ???????? ?????? ?????? ?? ?????? ?? ???? ??????? ?? 6 ???? ?????? ?? ??????",????? ???? ?? ??? ?????? ?????? ????? ???? ??????? ????????,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
integer,nb_children_vaccinationcard,How many children in the household have a vaccination card?,yes,,${calcul_nb_under18} >0,,.<=${calcul_nb_under18} or .=99,The number specified here can't be higher than the number of persons under 18 in the household,?? ??? ??????? ?? ????? ?????? ????? ??????,?? ???? ?? ???? ????? ?????? ??? ???? ?? ??? ??????? ??? ?? 18 ???? ?? ?????? ,,,Please put the number 99 if the interviewee did not want to answer,"?? ??? ???????? ?? ???? ??????? ?? ??? ??????? ?? ????? 99. ",
select_one yes_no_dk_dwta,ind_chronicdisease,Does any members of your household suffer from any chronic disease?,yes,,,quick,,,?? ????? ?? ?? ????? ????? ?? ?? ??? ?????,,,,,,
integer,nb_ind_chronicdisease,How many members of your HH have been diagnosed with a chronic disease?,yes,,${ind_chronicdisease} = 'yes',,,,?? ??? ????? ????? ????? ?? ??????? ???? ?????,,,,"Examples of chronic disease: blood pressure, diabetes, joint pain, heart disease, asthma, cataract, stomach ulcers, chronic back pain, epilepsy ","Ex: ??? ????, 
??????
??? ??????? (?????? ???????)
????? ?????
?????
????? (???? ?? ???? ?????)
???? ??????
???? ????? ?????? (????? ??????)
?????",
select_multiple chronic_disease,type_chronic_disease,"If yes, what do they suffer from? (Select medically-diagnosed disease(s) per person)",yes,,${nb_ind_chronicdisease} > 0,,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options," ??? ???? ??????? ??? ? ??? ???? ?????? ???? (??? ??? (?????) ????? ???? ??? ???)",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,type_chronic_disease_other,"if other, please specify",yes,,"selected(${type_chronic_disease},'other')",,,, ???? (???),,,,,,
select_one chronicdisease_medecine,chronicdisease_medecine,"If Yes, do they have access to medicines?",yes,,${nb_ind_chronicdisease} > 0,quick,,," ??? ??? ?????? ???? ? ?? ????? ??????? ?????? ??? ????????",,,,,,
select_one yes_no_dk_dwta,mental_disorder,Have you or anyone in your household been diagnosed with a clinical mental disorder?,yes,,${nb_ind_chronicdisease} > 0,quick,,,?? ?? ????? ?? ??? ?? ?????  ??????? ?????,,,,,,
select_one access_healthcare_service,access_healthcare_service,"If Yes, do they have adequate access to mental health care services?",yes,,${mental_disorder} = 'yes',quick,,,"??? ??? ?????? ??? ? ?? ????? ??????? ?????? ?????? ?????? ??????? ?????? ????????",,,,,,
select_multiple service_access_issues,service_access_issues,"If no or limited access, what are the services with access issues?",yes,,"selected(${access_healthcare_service},'no_access') or selected(${access_healthcare_service},'limited_access')",,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,"?? ???? ??? ?????? ?? ?????? ??????? ? ?? ?? ??????? ???? ????? ?????? ???????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,service_access_issues_other,"if other, please specify",yes,,"selected(${service_access_issues},'other')",,,, ???? (???),,,,,,
select_one yes_no_dk_dwta,physical_disability,Have you or anyone in your household been diagnosed with a physical disability?,yes,,,quick,,,?? ?? ?????? ??? ?? ?? ??? ?? ?????? ?????? ??????,,,,,,
select_one access_healthcare_service,physical_disability_healthcare_service,"If Yes, did he/they have access to the needed health care",yes,,${physical_disability} = 'yes',quick,,," ??? ??? ?????? ???? ? ??? ???????/ ??????? ?????? ??? ??????? ?????? ?????????",,,,,,
select_multiple service_access_issues,physical_disability_service_issues,"If No access or Limited access, what are the services with access issues?",yes,,"selected(${physical_disability_healthcare_service},'no_access') or selected(${physical_disability_healthcare_service},'limited_access')",,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.) = 1",some options can't be selected with other options,"?? ???? ??? ?????? ?? ?????? ??????? ? ?? ?? ??????? ???? ????? ?????? ???????",??? ???????? ?? ???? ???????? ?? ?????? ????,,,,,
text,physical_disability_service_issues_other,"if other, please specify",yes,,"selected(${physical_disability_service_issues},'other')",,,, ???? (???),,,,,,
end_group,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
begin_group,cash_markets,Cash and Markets,yes,,,,,,????? ? ??????? ,,,,,,
begin_group,type_jobs_adults,How many adults (aged 18 and over) in your household have worked in the past 30 days in the following types of jobs?  (choose primary job),yes,,${calcul_nb_over18} >0,field-list,,,"?? ??? ???????? (??????? ??? ??? ?????) ?? ?????  ????? ???? ?????? ???? ??????? ??  ????? ??????? ????????? (???? ??????? ????????)",,,,,,
integer,permanent_job_adult,Permanent job with annual/monthly/weekly wage,yes,,,,. >=0 and .<= ${calcul_nb_over18},,????? ????? ?? ??? ???? / ???? / ??????:,????? ???? ??? ???????? ?? ?????? ,,,primary job,???? ??????? ????????,
integer,temporary_job_adult,Temporary job with weekly/daily/monthly wage,yes,,,,. >=0 and .<= ${calcul_nb_over18},,??? ????  ?? ??? ???? / ???? / ??????:,????? ???? ??? ???????? ?? ?????? ,,,primary job,???? ??????? ????????,
integer,daily_labour_adult,Daily labour,yes,,,,. >=0 and .<= ${calcul_nb_over18},,????? ?????,????? ???? ??? ???????? ?? ?????? ,,,primary job,???? ??????? ????????,
integer,gvt_payroll_adult,Permanent job (government payroll) without regular attendance,yes,,,,. >=0 and .<= ${calcul_nb_over18},,????? ????? (???? ?????) ???? ???? ?????,????? ???? ??? ???????? ?? ?????? ,,,primary job,???? ??????? ????????,
end_group,,,,,,,,,,,,,,,
calculate,calcul_jobs_adults_nb,,,,,,,,,,,${permanent_job_adult}+${temporary_job_adult}+${daily_labour_adult}+${gvt_payroll_adult},,,
note,error_jobs_adults_nb,the numbers of adults that have worked in the past 30 days is greater than the number of adults in this HH,yes,,${calcul_nb_over18} < ${calcul_jobs_adults_nb},,,,??? ???????? ????? ????? ???? ???????? ????? ??????? ???? ?? ??? ???????? ?? ??? ??????,,,,,,
begin_group,type_jobs_minor,How many children (aged 17 and under) in your household have worked in the past month in the following types of jobs? (choose primary job),yes,,${calcul_nb_under18} >0,field-list,,,"?? ??? ??????? ( ???? ??? ??? ? ???) ?? ?????? ????? ????  ?????? ???? ??????? ??  ????? ??????? ???????? (???? ??????? ????????)",,,,,,
integer,permanent_job_minor,Permanent job with annual/monthly/weekly wage,yes,,,,. >=0 and .<= ${calcul_nb_under18},,????? ????? ?? ??? ???? / ???? / ??????:,????? ???? ??? ???????? ?? ?????? ,,,primary job,???? ??????? ????????,
integer,temporary_job_minor,Temporary job with weekly/daily/monthly wage,yes,,,,. >=0 and .<= ${calcul_nb_under18},,??? ????  ?? ??? ???? / ???? / ??????:,????? ???? ??? ???????? ?? ?????? ,,,primary job,???? ??????? ????????,
integer,daily_labour_minor,Daily labour,yes,,,,. >=0 and .<= ${calcul_nb_under18},,????? ?????,????? ???? ??? ???????? ?? ?????? ,,,primary job,???? ??????? ????????,
end_group,,,,,,,,,,,,,,,
calculate,calcul_jobs_minors_nb,,,,,,,,,,,${permanent_job_minor}+${temporary_job_minor}+${daily_labour_minor},,,
note,error_jobs_minor_nb,the numbers of minors that have worked in the past 30 days is greater than the number of minors in this HH,yes,,${calcul_nb_under18} < ${calcul_jobs_minors_nb},,,,??? ???????? ????? ????? ???? ???????? ????? ??????? ???? ?? ??? ???????? ?? ??? ??????,,,,,,
begin_group,employment_profile_male,"In total, how many male adults (aged 18 and over) in your household worked for the following types of institutions in the past 30 days?",yes,,${calcul_jobs_adults_nb}>0,field-list,,,"?? ??????? ? ?? ?? ??? ?????? ???????? (????? ???? ??????? ??????? ??? ??? ??? ???) ?? ????? ????? ?????? ?? ??????? ??????? ?? ???????? ???? ???????? ????? ????????",,,,they should only answer for the job which they are most dependent  on for living,??? ?? ?????? ??? ?? ??????? ???? ??????? ????? ???? ???? ?????,
integer,gov_job_male,1. Government or public sector,yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ??????? ?? ?????? ?????,,,,,,
integer,private_libya_job_male,2. Libyan-owned business (private sector),yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ????? ????? (?????? ?????),,,,,,
integer,private_foreign_job_male,3. Foreign-owned business (private sector),yes,,,,.>=0 and .<= ${calcul_nb_over18_male},,??????? ???????? (?????? ?????),,,,,,
integer,ngo_libya_job_male,"4. Libyan non-profit sector (Libyan NGO, civil society organization, etc.)",yes,,,,.>=0 and .<= ${calcul_nb_over18_male},,"?????? ??? ?????? ?????? (???????? ??? ???????? ??????? ? ?????? ??????? ?????? ? ???.)",,,,,,
integer,ngo_international_job_male,"5. International non-profit sector (international NGO, UN agency, etc.)",yes,,,,.>=0 and .<= ${calcul_nb_over18_male},," ?????? ??? ?????? ??????? (???????? ??? ???????? ??????? ? ??????? ????? ??????? ? ???.)",,,,,,
integer,own_business_male,6. Own business or family business,yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ??????? ???????? ?????? ?? ????????,,,,,,
integer,informal_labour_male,7. Informal or irregular labour,yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ????? ??? ?????? ?? ??? ???????,,,,,,
integer,employment_male_other,8. Other (please specify),yes,,,,.>=0 and .<= ${calcul_nb_over18_male},, ??? ??? (???? ???????),,,,,,
end_group,,,,,,,,,,,,,,,
calculate,calcul_employment_profile_male,,,,,,,,,,,${gov_job_male}+${private_libya_job_male}+${private_foreign_job_male}+${ngo_libya_job_male}+${ngo_international_job_male}+${own_business_male}+${informal_labour_male}+${employment_male_other},,,
note,error_employment_male_profile,the total number exceeds the total number of male adults,yes,,${calcul_employment_profile_male} > ${calcul_nb_over18_male},,,,????? ???????? ?????? ????? ???????? ?????? ???????? ,,,,,,
text,employment_profile_male_ot,"If other sector, Please specify",yes,,${employment_male_other} > 0,,,,??? ?? ??? ????? ???? ??? ,,,,,,
begin_group,employment_profile_female,"In total, how many female adults (aged 18 and over) in your household worked for the following types of institutions in the past 30 days?",yes,,${calcul_jobs_adults_nb}>0,field-list,,,"?? ??????? ? ?? ?? ??? ?????? ???????? (???????? ?? ????? ??????? ??? ??? ??? ???) ?? ????? ?????? ????? ?? ??????? ??????? ?? ???????? ???? ???????? ????? ????????",,,,they should only answer for the job which they are most dependent  on for living,??? ?? ?????? ??? ?? ??????? ???? ??????? ????? ???? ???? ?????,
integer,gov_job_female,1. Government or public sector,yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ??????? ?? ?????? ?????,,,,,,
integer,private_libya_job_female,2. Libyan-owned business (private sector),yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ????? ????? (?????? ?????),,,,,,
integer,private_foreign_job_female,3. Foreign-owned business (private sector),yes,,,,.>=0 and .<= ${calcul_nb_over18_female},,??????? ???????? (?????? ?????),,,,,,
integer,ngo_libya_job_female,"4. Libyan non-profit sector (Libyan NGO, civil society organization, etc.)",yes,,,,.>=0 and .<= ${calcul_nb_over18_female},,"?????? ??? ?????? ?????? (???????? ??? ???????? ??????? ? ?????? ??????? ?????? ? ???.)",,,,,,
integer,ngo_international_job_female,"5. International non-profit sector (international NGO, UN agency, etc.)",yes,,,,.>=0 and .<= ${calcul_nb_over18_female},," ?????? ??? ?????? ??????? (???????? ??? ???????? ??????? ? ??????? ????? ??????? ? ???.)",,,,,,
integer,own_business_female,6. Own business or family business,yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ??????? ???????? ?????? ?? ????????,,,,,,
integer,informal_labour_female,7. Informal or irregular labour,yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ????? ??? ?????? ?? ??? ???????,,,,,,
integer,employment_female_other,8. Other (please specify),yes,,,,.>=0 and .<= ${calcul_nb_over18_female},, ??? ??? (???? ???????),,,,,,
end_group,,,,,,,,,,,,,,,
calculate,calcul_employment_profile_female,,,,,,,,,,,${gov_job_female}+${private_libya_job_female}+${private_foreign_job_female}+${ngo_libya_job_female}+${ngo_international_job_female}+${own_business_female}+${informal_labour_female}+${employment_female_other},,,
note,error_employment_female_profile,the total number exceeds the total number of female adults,yes,,${calcul_employment_profile_female} > ${calcul_nb_over18_female},,,,"????? ???????? ?????? ????? ???????? ?????? ???????? 
",,,,,,
text,employment_profile_female_ot,"If other sector, Please specify",yes,,${employment_female_other} > 0,,,,??? ?? ??? ????? ???? ??? ,,,,,,
integer,unemployed_male_profile,"In total, how many male adults in your household did not work at all in the past 30 days?",yes,,,,. <= (${calcul_nb_over18_male} - ${calcul_employment_profile_male}),the sum of the adult male employed and the adult male unemployed exceeds the total adult male in the household,"?? ??????? ? ?? ??? ?????? ???????? ?? ????? ?? ???? ??? ??????? ???? ?????? ????? ????????",????? ?????? ??? 18 ??? ????? ?????? ? ???????? ?? ????? ???? ??? ?????? ???????? ?? ?????? ,,,,,
integer,unemployed_female_profile,"In total, how many female adults in your household did not work at all in the past 30 days?",yes,,,,. <= (${calcul_nb_over18_female} - ${calcul_employment_profile_female}),the sum of the adult female employed and the adult female unemployed exceeds the total adult female in the household,"?? ??????? ? ?? ??? ?????? ???????? ?? ????? ?? ????? ??? ??????? ???? ?????? ????? ????????",????? ?????? ??? 18 ??? ????? ?????? ? ???????? ?? ????? ???? ??? ?????? ???????? ?? ?????? ,,,,,
begin_group,income_source,Can you estimate your household's income (in LYD) over the last 30 days from each of the following sources? ,yes,,,field-list,,,?? ?? ????? ????? ???? ???? ???? ????? ?? ??? ??????? ???? ?? ?????? ???? ??????? ???????? ?????? ?,,,,,,
integer,gov_salary,1. Government salary,yes,,${gov_job_female} >0 or ${gov_job_male}>0,,. >=0,," ?????? ???????
",,,,,,
