FID *,admin2Name *,admin2Pcod,admin2RefN,admin1Pcod,admin0Name,admin0Pcod,LGA_Name,A1,A2,A3
274,Ibi,NG035006,Ibi,NG035,Nigeria,NG,IBI,61.5,7.7,30.8
275,Ibiono Ibom,NG003010,Ibiono Ibom,NG003,Nigeria,NG,IBIONO IBOM,33.3,6.7,60
276,Idah,NG023007,Idah,NG023,Nigeria,NG,IDAH,30,40,30
277,Idanre,NG029008,Idanre,NG029,Nigeria,NG,IDANRE,33.3,33.3,33.3
278,Ideato North,NG017005,Ideato North,NG017,Nigeria,NG,IDEATO NORTH,31.3,43.8,25
279,Ideato South,NG017006,Ideato South,NG017,Nigeria,NG,IDEATO SOUTH,34.6,34.6,30.8
280,Idemili North,NG004010,Idemili North,NG004,Nigeria,NG,IDEMILI NORTH,30.8,53.8,15.4
281,Idemili South,NG004011,Idemili South,NG004,Nigeria,NG,IDEMILI SOUTH,21.4,71.4,7.1
282,Ido,NG031014,Ido,NG031,Nigeria,NG,IDO,10,30,60
283,Ido-Osi,NG013008,Ido-Osi,NG013,Nigeria,NG,IDO-OSI,33.3,29.2,37.5
284,Ifako-Ijaye,NG025010,Ifako-Ijaye,NG025,Nigeria,NG,IFAKO-IJAYE,35,35,30
285,Ife Central,NG030011,Ife Central,NG030,Nigeria,NG,IFE CENTRAL,46.2,38.5,15.4
286,Ife East,NG030012,Ife East,NG030,Nigeria,NG,IFE EAST,9.5,42.9,47.6
287,Ife North,NG030013,Ife North,NG030,Nigeria,NG,IFE NORTH,6.7,66.7,26.7
288,Ife South,NG030014,Ife South,NG030,Nigeria,NG,IFE SOUTH,47.1,47.1,5.9
289,Ifedayo,NG030015,Ifedayo,NG030,Nigeria,NG,IFEDAYO,7.1,71.4,21.4
290,Ifedore,NG029009,Ifedore,NG029,Nigeria,NG,IFEDORE,58.3,16.7,25
291,Ifelodun,NG030016,Ifelodun,NG030,Nigeria,NG,IFELODUN,42.1,10.5,47.4
292,Ifelodun,NG024005,Ifelodun,NG024,Nigeria,NG,IFELODUN,27.3,45.5,27.3
293,Ifo,NG028007,Ifo,NG028,Nigeria,NG,IFO,33.3,8.3,58.3
294,Igabi,NG019004,Igabi,NG019,Nigeria,NG,IGABI,29.2,29.2,41.7
295,Igalamela-Odolu,NG023008,Igalamela-Odolu,NG023,Nigeria,NG,IGALAMELA-ODOLU,45,30,25
296,Igbo-Etiti,NG014007,Igbo-Etiti,NG014,Nigeria,NG,IGBO-ETITI,25,58.3,16.7
297,Igbo-Eze North,NG014008,Igbo-Eze North,NG014,Nigeria,NG,IGBO-EZE NORTH,29.4,52.9,17.6
298,Igbo-Eze South,NG014009,Igbo-Eze South,NG014,Nigeria,NG,IGBO-EZE SOUTH,40,30,30
299,Igueben,NG012010,Igueben,NG012,Nigeria,NG,IGUEBEN,7.1,21.4,71.4
300,Ihiala,NG004012,Ihiala,NG004,Nigeria,NG,IHIALA,27.3,45.5,27.3
301,Ihitte/Uboma,NG017007,Ihitte/Uboma,NG017,Nigeria,NG,IHITTE/UBOMA,25,66.7,8.3
302,Ijebu East,NG028008,Ijebu East,NG028,Nigeria,NG,IJEBU EAST,17.4,39.1,43.5
303,Ijebu North,NG028009,Ijebu North,NG028,Nigeria,NG,IJEBU NORTH,40,28,32
304,Ijebu North East,NG028010,Ijebu North East,NG028,Nigeria,NG,IJEBU NORTH EAST,31.3,43.8,25
305,Ijebu Ode,NG028011,Ijebu Ode,NG028,Nigeria,NG,IJEBU ODE,14.3,47.6,38.1
306,Ijero,NG013009,Ijero,NG013,Nigeria,NG,IJERO,39.1,39.1,21.7
307,Ijumu,NG023009,Ijumu,NG023,Nigeria,NG,IJUMU,7.1,64.3,28.6
308,Ika,NG003011,Ika,NG003,Nigeria,NG,IKA,7.7,46.2,46.2
309,Ika North East,NG010007,Ika North East,NG010,Nigeria,NG,IKA NORTH EAST,40,50,10
310,Ika South,NG010008,Ika South,NG010,Nigeria,NG,IKA SOUTH,23.1,30.8,46.2
311,Ikara,NG019005,Ikara,NG019,Nigeria,NG,IKARA,18.2,18.2,63.6
312,Ikeduru,NG017008,Ikeduru,NG017,Nigeria,NG,IKEDURU,25,50,25
313,Ikeja,NG025011,Ikeja,NG025,Nigeria,NG,IKEJA,20,40,40
314,Ikenne,NG028012,Ikenne,NG028,Nigeria,NG,IKENNE,37.5,20.8,41.7
315,Ikere,NG013010,Ikere,NG013,Nigeria,NG,IKERE,50,16.7,33.3
316,Ikole,NG013011,Ikole,NG013,Nigeria,NG,IKOLE,14.3,47.6,38.1
317,Ikom,NG009012,Ikom,NG009,Nigeria,NG,IKOM,12.5,62.5,25
318,Ikono,NG003012,Ikono,NG003,Nigeria,NG,IKONO,52.6,21.1,26.3
319,Ikorodu,NG025012,Ikorodu,NG025,Nigeria,NG,IKORODU,23.1,61.5,15.4
320,Ikot Abasi,NG003013,Ikot Abasi,NG003,Nigeria,NG,IKOT ABASI,11.1,44.4,44.4
321,Ikot Ekpene,NG003014,Ikot Ekpene,NG003,Nigeria,NG,IKOT EKPENE,14.3,64.3,21.4
322,Ikpoba-Okha,NG012011,Ikpoba-Okha,NG012,Nigeria,NG,IKPOBA-OKHA,23.1,30.8,46.2
323,Ikwerre,NG033013,Ikwerre,NG033,Nigeria,NG,IKWERRE,50,33.3,16.7
324,Ikwo,NG011007,Ikwo,NG011,Nigeria,NG,IKWO,25,37.5,37.5
325,Ikwuano,NG001005,Ikwuano,NG001,Nigeria,NG,IKWUANO,42.9,9.5,47.6
326,Ila,NG030017,Ila,NG030,Nigeria,NG,ILA,71.4,14.3,14.3
327,Ilaje,NG029010,Ilaje,NG029,Nigeria,NG,ILAJE,33.3,16.7,50
328,Ile-Oluji-Okeigbo,NG029011,Ile-Oluji-Okeigbo,NG029,Nigeria,NG,ILE-OLUJI-OKEIGBO,10.5,42.1,47.4
329,Ilejemeji,NG013012,Ilejemeji,NG013,Nigeria,NG,ILEJEMEJI,30.4,26.1,43.5
330,Ilesha East,NG030018,Ilesha East,NG030,Nigeria,NG,ILESHA EAST,31.8,31.8,36.4
331,Ilesha West,NG030019,Ilesha West,NG030,Nigeria,NG,ILESHA WEST,31.6,21.1,47.4
332,Illela,NG034008,Illela,NG034,Nigeria,NG,ILLELA,33.3,25,41.7
333,Ilorin East,NG024006,Ilorin East,NG024,Nigeria,NG,ILORIN EAST,8.3,8.3,83.3
334,Ilorin South,NG024007,Ilorin South,NG024,Nigeria,NG,ILORIN SOUTH,31.6,15.8,52.6
335,Ilorin West,NG024008,Ilorin West,NG024,Nigeria,NG,ILORIN WEST,23.8,38.1,38.1
336,Imeko-Afon,NG028013,Imeko-Afon,NG028,Nigeria,NG,IMEKO-AFON,18.2,54.5,27.3
337,Ingawa,NG021015,Ingawa,NG021,Nigeria,NG,INGAWA,10,70,20
338,Ini,NG003015,Ini,NG003,Nigeria,NG,INI,12.5,12.5,75
339,Ipokia,NG028014,Ipokia,NG028,Nigeria,NG,IPOKIA,21.4,28.6,50
340,Irele,NG029012,Irele,NG029,Nigeria,NG,IRELE,40,33.3,26.7
341,Irepo,NG031015,Irepo,NG031,Nigeria,NG,IREPO,46.7,13.3,40
342,Irepodun,NG024009,Irepodun,NG024,Nigeria,NG,IREPODUN,22.2,33.3,44.4
343,Irepodun/Ifelodun,NG013013,Irepodun/Ifelodun,NG013,Nigeria,NG,IREPODUN/IFELODUN,23.1,38.5,38.5
344,Irepodun,NG030020,Irepodun,NG030,Nigeria,NG,IREPODUN,30.8,38.5,30.8
345,Irewole,NG030021,Irewole,NG030,Nigeria,NG,IREWOLE,11.8,47.1,41.2
346,Isa,NG034009,Isa,NG034,Nigeria,NG,ISA,58.3,25,16.7
347,Ise/Orun,NG013014,Ise/Orun,NG013,Nigeria,NG,ISE/ORUN,47.6,28.6,23.8
348,Iseyin,NG031016,Iseyin,NG031,Nigeria,NG,ISEYIN,58.3,25,16.7
349,Ishielu,NG011008,Ishielu,NG011,Nigeria,NG,ISHIELU,43.8,31.3,25
350,Isi-Uzo,NG014010,Isi-Uzo,NG014,Nigeria,NG,ISI-UZO,60,6.7,33.3
351,Isiala-Ngwa North,NG001006,Isiala-Ngwa North,NG001,Nigeria,NG,ISIALA-NGWA NORTH,35,45,20
352,Isiala-Ngwa South,NG001007,Isiala-Ngwa South,NG001,Nigeria,NG,ISIALA-NGWA SOUTH,29.4,17.6,52.9
353,Isiala Mbano,NG017009,Isiala Mbano,NG017,Nigeria,NG,ISIALA MBANO,7.1,57.1,35.7
354,Isin,NG024010,Isin,NG024,Nigeria,NG,ISIN,50,12.5,37.5
355,Isiukwuato,NG001008,Isiukwuato,NG001,Nigeria,NG,ISIUKWUATO,21.4,42.9,35.7
356,Isokan,NG030022,Isokan,NG030,Nigeria,NG,ISOKAN,39.1,39.1,21.7
357,Isoko North,NG010009,Isoko North,NG010,Nigeria,NG,ISOKO NORTH,26.7,60,13.3
358,Isoko South,NG010010,Isoko South,NG010,Nigeria,NG,ISOKO SOUTH,66.7,13.3,20
359,Isu,NG017010,Isu,NG017,Nigeria,NG,ISU,62.5,31.3,6.3
360,Itas/Gadau,NG005010,Itas/Gadau,NG005,Nigeria,NG,ITAS/GADAU,23.1,7.7,69.2
361,Itesiwaju,NG031017,Itesiwaju,NG031,Nigeria,NG,ITESIWAJU,16.7,50,33.3
362,Itu,NG003016,Itu,NG003,Nigeria,NG,ITU,20,53.3,26.7
363,Ivo,NG011009,Ivo,NG011,Nigeria,NG,IVO,31.3,50,18.8
364,Iwajowa,NG031018,Iwajowa,NG031,Nigeria,NG,IWAJOWA,25,41.7,33.3
365,Iwo,NG030023,Iwo,NG030,Nigeria,NG,IWO,64.3,28.6,7.1
366,Izzi,NG011010,Izzi,NG011,Nigeria,NG,IZZI,36.4,18.2,45.5
367,Jaba,NG019006,Jaba,NG019,Nigeria,NG,JABA,14.3,35.7,50
368,Jada,NG002008,Jada,NG002,Nigeria,NG,JADA,33.3,38.9,27.8
369,Jahun,NG018014,Jahun,NG018,Nigeria,NG,JAHUN,47.1,29.4,23.5
370,Jakusko,NG036009,Jakusko,NG036,Nigeria,NG,JAKUSKO,31.3,25,43.8
371,Jalingo,NG035007,Jalingo,NG035,Nigeria,NG,JALINGO,15.4,30.8,53.8
372,Jama'are,NG005011,Jamaare,NG005,Nigeria,NG,JAMA'ARE,40,40,20
373,Jega,NG022011,Jega,NG022,Nigeria,NG,JEGA,35,25,40
374,Jema'a,NG019007,Jemaa,NG019,Nigeria,NG,JEMA'A,33.3,33.3,33.3
375,Jibia,NG021016,Jibia,NG021,Nigeria,NG,JIBIA,33.3,25,41.7
376,Jos East,NG032004,Jos East,NG032,Nigeria,NG,JOS EAST,27.3,40.9,31.8
377,Jos North,NG032005,Jos North,NG032,Nigeria,NG,JOS NORTH,41.2,29.4,29.4
378,Jos South,NG032006,Jos South,NG032,Nigeria,NG,JOS SOUTH,31.8,36.4,31.8
379,Kabba/Bunu,NG023010,Kabba/Bunu,NG023,Nigeria,NG,KABBA/BUNU,29.2,29.2,41.7
380,Kabo,NG020020,Kabo,NG020,Nigeria,NG,KABO,12.5,31.3,56.3
381,Kachia,NG019008,Kachia,NG019,Nigeria,NG,KACHIA,21.7,39.1,39.1
382,Kaduna North,NG019009,Kaduna North,NG019,Nigeria,NG,KADUNA NORTH,28.6,28.6,42.9
383,Kaduna South,NG019010,Kaduna South,NG019,Nigeria,NG,KADUNA SOUTH,11.1,44.4,44.4
384,Kafin Hausa,NG018015,Kafin Hausa,NG018,Nigeria,NG,KAFIN HAUSA,34.8,30.4,34.8
385,Kafur,NG021017,Kafur,NG021,Nigeria,NG,KAFUR,45,50,5
386,Kagarko,NG019011,Kagarko,NG019,Nigeria,NG,KAGARKO,31.6,52.6,15.8
387,Kaiama,NG024011,Kaiama,NG024,Nigeria,NG,KAIAMA,61.5,15.4,23.1
388,Kaita,NG021018,Kaita,NG021,Nigeria,NG,KAITA,5.9,35.3,58.8
389,Kajola,NG031019,Kajola,NG031,Nigeria,NG,KAJOLA,46.7,26.7,26.7
390,Kajuru,NG019012,Kajuru,NG019,Nigeria,NG,KAJURU,35,45,20
391,Kalgo,NG022012,Kalgo,NG022,Nigeria,NG,KALGO,57.1,7.1,35.7
392,Kaltungo,NG016007,Kaltungo,NG016,Nigeria,NG,KALTUNGO,10,80,10
393,Kanam,NG032007,Kanam,NG032,Nigeria,NG,KANAM,33.3,41.7,25
394,Kankara,NG021019,Kankara,NG021,Nigeria,NG,KANKARA,18.8,25,56.3
395,Kanke,NG032008,Kanke,NG032,Nigeria,NG,KANKE,28.6,14.3,57.1
396,Kankia,NG021020,Kankia,NG021,Nigeria,NG,KANKIA,14.3,38.1,47.6
397,Kano Municipal,NG020021,Kano Municipal,NG020,Nigeria,NG,KANO MUNICIPAL,13.3,40,46.7
398,Karasuwa,NG036010,Karasuwa,NG036,Nigeria,NG,KARASUWA,45,35,20
399,Karaye,NG020022,Karaye,NG020,Nigeria,NG,KARAYE,16.7,38.9,44.4
400,Karim-Lamido,NG035008,Karim-Lamido,NG035,Nigeria,NG,KARIM-LAMIDO,66.7,13.3,20
401,Karu,NG026004,Karu,NG026,Nigeria,NG,KARU,18.2,18.2,63.6
402,Katagum,NG005012,Katagum,NG005,Nigeria,NG,KATAGUM,15.8,52.6,31.6
403,Katcha,NG027010,Katcha,NG027,Nigeria,NG,KATCHA,11.8,47.1,41.2
404,Katsina,NG021021,Katsina,NG021,Nigeria,NG,KATSINA,41.7,37.5,20.8
405,Katsina-Ala,NG007009,Katsina-Ala,NG007,Nigeria,NG,KATSINA-ALA,38.1,33.3,28.6
406,Kaugama,NG018016,Kaugama,NG018,Nigeria,NG,KAUGAMA,10.5,47.4,42.1
407,Kaura,NG019013,Kaura,NG019,Nigeria,NG,KAURA,39.1,26.1,34.8
408,Kaura Namoda,NG037008,Kaura Namoda,NG037,Nigeria,NG,KAURA NAMODA,25,41.7,33.3
409,Kauru,NG019014,Kauru,NG019,Nigeria,NG,KAURU,37.5,50,12.5
410,Kazaure,NG018017,Kazaure,NG018,Nigeria,NG,KAZAURE,42.9,19,38.1
411,Keana,NG026005,Keana,NG026,Nigeria,NG,KEANA,26.7,26.7,46.7
412,Kebbe,NG034010,Kebbe,NG034,Nigeria,NG,KEBBE,25,43.8,31.3
413,Keffi,NG026006,Keffi,NG026,Nigeria,NG,KEFFI,27.8,33.3,38.9
414,Khana,NG033014,Khana,NG033,Nigeria,NG,KHANA,36.8,26.3,36.8
415,Kibiya,NG020023,Kibiya,NG020,Nigeria,NG,KIBIYA,12.5,56.3,31.3
416,Kirfi,NG005013,Kirfi,NG005,Nigeria,NG,KIRFI,26.7,66.7,6.7
417,Kiri Kasamma,NG018018,Kiri Kasamma,NG018,Nigeria,NG,KIRI KASAMMA,42.9,28.6,28.6
418,Kiru,NG020024,Kiru,NG020,Nigeria,NG,KIRU,66.7,22.2,11.1
419,Kiyawa,NG018019,Kiyawa,NG018,Nigeria,NG,KIYAWA,50,10,40
420,Kogi,NG023011,Kogi,NG023,Nigeria,NG,KOGI,17.6,47.1,35.3
421,Koko/Besse,NG022013,Koko/Besse,NG022,Nigeria,NG,KOKO/BESSE,14.3,57.1,28.6
422,Kokona,NG026007,Kokona,NG026,Nigeria,NG,KOKONA,11.8,29.4,58.8
423,Kolokuma/Opokuma,NG006003,Kolokuma/Opokuma,NG006,Nigeria,NG,KOLOKUMA/OPOKUMA,35.7,14.3,50
424,Konshisha,NG007010,Konshisha,NG007,Nigeria,NG,KONSHISHA,37,29.6,33.3
425,Kontagora,NG027011,Kontagora,NG027,Nigeria,NG,KONTAGORA,37.5,37.5,25
426,Kosofe,NG025013,Kosofe,NG025,Nigeria,NG,KOSOFE,32,36,32
427,Kubau,NG019015,Kubau,NG019,Nigeria,NG,KUBAU,40,40,20
428,Kudan,NG019016,Kudan,NG019,Nigeria,NG,KUDAN,30,60,10
429,Kuje,NG015005,Kuje,NG015,Nigeria,NG,KUJE,32,40,28
430,Kumbotso,NG020025,Kumbotso,NG020,Nigeria,NG,KUMBOTSO,46.2,7.7,46.2
431,Kunchi,NG020026,Kunchi,NG020,Nigeria,NG,KUNCHI,25.9,37,37
432,Kura,NG020027,Kura,NG020,Nigeria,NG,KURA,28,32,40
433,Kurfi,NG021022,Kurfi,NG021,Nigeria,NG,KURFI,33.3,44.4,22.2
434,Kurmi,NG035009,Kurmi,NG035,Nigeria,NG,KURMI,27.3,45.5,27.3
435,Kusada,NG021023,Kusada,NG021,Nigeria,NG,KUSADA,13,43.5,43.5
436,Kwali,NG015006,Kwali,NG015,Nigeria,NG,KWALI,36.8,52.6,10.5
437,Kwami,NG016008,Kwami,NG016,Nigeria,NG,KWAMI,58.3,33.3,8.3
438,Kwande,NG007011,Kwande,NG007,Nigeria,NG,KWANDE,20,66.7,13.3
439,Kware,NG034011,Kware,NG034,Nigeria,NG,KWARE,15.8,47.4,36.8
440,Lafia,NG026008,Lafia,NG026,Nigeria,NG,LAFIA,29.2,37.5,33.3
441,Lagelu,NG031020,Lagelu,NG031,Nigeria,NG,LAGELU,17.6,52.9,29.4
442,Lagos Island,NG025014,Lagos Island,NG025,Nigeria,NG,LAGOS ISLAND,21.4,28.6,50
443,Lagos Mainland,NG025015,Lagos Mainland,NG025,Nigeria,NG,LAGOS MAINLAND,26.3,52.6,21.1
444,Lamurde,NG002009,Lamurde,NG002,Nigeria,NG,LAMURDE,22.7,36.4,40.9
445,Langtang North,NG032009,Langtang North,NG032,Nigeria,NG,LANGTANG NORTH,20,33.3,46.7
446,Langtang South,NG032010,Langtang South,NG032,Nigeria,NG,LANGTANG SOUTH,26.3,21.1,52.6
447,Lapai,NG027012,Lapai,NG027,Nigeria,NG,LAPAI,15.8,47.4,36.8
448,Lau,NG035010,Lau,NG035,Nigeria,NG,LAU,42.9,14.3,42.9
449,Lavun,NG027013,Lavun,NG027,Nigeria,NG,LAVUN,12.5,75,12.5
450,Lere,NG019017,Lere,NG019,Nigeria,NG,LERE,22.2,27.8,50
451,Logo,NG007012,Logo,NG007,Nigeria,NG,LOGO,30.8,23.1,46.2
452,Lokoja,NG023012,Lokoja,NG023,Nigeria,NG,LOKOJA,47.4,36.8,15.8
453,Machina,NG036011,Machina,NG036,Nigeria,NG,MACHINA,33.3,37,29.6
454,Madagali,NG002010,Madagali,NG002,Nigeria,NG,MADAGALI,29.4,52.9,17.6
455,Madobi,NG020028,Madobi,NG020,Nigeria,NG,MADOBI,27.3,9.1,63.6
456,Magama,NG027014,Magama,NG027,Nigeria,NG,MAGAMA,47.6,14.3,38.1
457,Mai'adua,NG021024,Maiadua,NG021,Nigeria,NG,MAI'ADUA,52.6,15.8,31.6
458,Maigatari,NG018020,Maigatari,NG018,Nigeria,NG,MAIGATARI,47.6,33.3,19
459,Maiha,NG002011,Maiha,NG002,Nigeria,NG,MAIHA,11.8,52.9,35.3
460,Maiyama,NG022014,Maiyama,NG022,Nigeria,NG,MAIYAMA,36.8,31.6,31.6
461,Makoda,NG020029,Makoda,NG020,Nigeria,NG,MAKODA,16.7,38.9,44.4
462,Makurdi,NG007013,Makurdi,NG007,Nigeria,NG,MAKURDI,58.3,8.3,33.3
463,Malam Madori,NG018021,Malam Madori,NG018,Nigeria,NG,MALAM MADORI,47.6,19,33.3
464,Malumfashi,NG021025,Malumfashi,NG021,Nigeria,NG,MALUMFASHI,52.6,26.3,21.1
465,Mangu,NG032011,Mangu,NG032,Nigeria,NG,MANGU,10,10,80
466,Mani,NG021026,Mani,NG021,Nigeria,NG,MANI,11.1,66.7,22.2
467,Maradun,NG037009,Maradun,NG037,Nigeria,NG,MARADUN,38.5,34.6,26.9
468,Mariga,NG027015,Mariga,NG027,Nigeria,NG,MARIGA,35.7,57.1,7.1
469,Markafi,NG019018,Markafi,NG019,Nigeria,NG,MARKAFI,18.8,62.5,18.8
470,Maru,NG037010,Maru,NG037,Nigeria,NG,MARU,69.2,7.7,23.1
471,Mashegu,NG027016,Mashegu,NG027,Nigeria,NG,MASHEGU,43.5,30.4,26.1
472,Mashi,NG021027,Mashi,NG021,Nigeria,NG,MASHI,50,16.7,33.3
473,Matazu,NG021028,Matazu,NG021,Nigeria,NG,MATAZU,45.5,9.1,45.5
474,Mayo-Belwa,NG002012,Mayo-Belwa,NG002,Nigeria,NG,MAYO-BELWA,34.6,34.6,30.8
475,Mbaitoli,NG017011,Mbaitoli,NG017,Nigeria,NG,MBAITOLI,18.2,36.4,45.5
476,Mbo,NG003017,Mbo,NG003,Nigeria,NG,MBO,38.1,38.1,23.8
477,Michika,NG002013,Michika,NG002,Nigeria,NG,MICHIKA,16.7,33.3,50
478,Miga,NG018022,Miga,NG018,Nigeria,NG,MIGA,19,33.3,47.6
479,Mikang,NG032012,Mikang,NG032,Nigeria,NG,MIKANG,40,40,20
480,Minjibir,NG020030,Minjibir,NG020,Nigeria,NG,MINJIBIR,31.3,56.3,12.5
481,Misau,NG005014,Misau,NG005,Nigeria,NG,MISAU,28,40,32
482,Mkpat Enin,NG003018,Mkpat Enin,NG003,Nigeria,NG,MKPAT ENIN,26.7,26.7,46.7
483,Moba,NG013015,Moba,NG013,Nigeria,NG,MOBA,29.4,17.6,52.9
484,Mokwa,NG027017,Mokwa,NG027,Nigeria,NG,MOKWA,44.4,11.1,44.4
485,Mopa-Muro,NG023013,Mopa-Muro,NG023,Nigeria,NG,MOPA-MURO,66.7,22.2,11.1
486,Moro,NG024012,Moro,NG024,Nigeria,NG,MORO,6.7,40,53.3
487,Mubi North,NG002014,Mubi North,NG002,Nigeria,NG,MUBI NORTH,30,50,20
488,Mubi South,NG002015,Mubi South,NG002,Nigeria,NG,MUBI SOUTH,25,16.7,58.3
489,Musawa,NG021029,Musawa,NG021,Nigeria,NG,MUSAWA,31.6,26.3,42.1
490,Mushin,NG025016,Mushin,NG025,Nigeria,NG,MUSHIN,30,20,50
491,Muya,NG027018,Muya,NG027,Nigeria,NG,MUYA,42.1,42.1,15.8
492,Nafada,NG016009,Nafada,NG016,Nigeria,NG,NAFADA,15.4,53.8,30.8
493,Nangere,NG036012,Nangere,NG036,Nigeria,NG,NANGERE,50,22.2,27.8
494,Nasarawa,NG020031,Nasarawa,NG020,Nigeria,NG,NASARAWA,53.3,20,26.7
495,Nasarawa-Eggon,NG026010,Nasarawa-Eggon,NG026,Nigeria,NG,NASARAWA-EGGON,42.1,5.3,52.6
496,Nasarawa,NG026009,Nasarawa,NG026,Nigeria,NG,NASARAWA,52.9,41.2,5.9
497,Ndokwa East,NG010011,Ndokwa East,NG010,Nigeria,NG,NDOKWA EAST,61.5,15.4,23.1
498,Ndokwa West,NG010012,Ndokwa West,NG010,Nigeria,NG,NDOKWA WEST,31.6,36.8,31.6
499,Nembe,NG006004,Nembe,NG006,Nigeria,NG,NEMBE,10,80,10
500,Ngaski,NG022015,Ngaski,NG022,Nigeria,NG,NGASKI,33.3,55.6,11.1
501,Ngor-Okpala,NG017012,Ngor-Okpala,NG017,Nigeria,NG,NGOR-OKPALA,34.8,34.8,30.4
502,Nguru,NG036013,Nguru,NG036,Nigeria,NG,NGURU,25,25,50
503,Ningi,NG005015,Ningi,NG005,Nigeria,NG,NINGI,16.7,50,33.3
504,Njaba,NG017013,Njaba,NG017,Nigeria,NG,NJABA,14.3,57.1,28.6
505,Dunukofia,NG004008,Dunukofia,NG004,Nigeria,NG,DUNUKOFIA,43.5,17.4,39.1
506,Nkanu East,NG014011,Nkanu East,NG014,Nigeria,NG,NKANU EAST,45,45,10
507,Nkanu West,NG014012,Nkanu West,NG014,Nigeria,NG,NKANU WEST,32,28,40
508,Nkwerre,NG017014,Nkwerre,NG017,Nigeria,NG,NKWERRE,63.6,27.3,9.1
509,Nnewi North,NG004014,Nnewi North,NG004,Nigeria,NG,NNEWI NORTH,17.6,35.3,47.1
510,Nnewi South,NG004015,Nnewi South,NG004,Nigeria,NG,NNEWI SOUTH,6.3,43.8,50
511,Nsit Atai,NG003019,Nsit Atai,NG003,Nigeria,NG,NSIT ATAI,36.4,36.4,27.3
512,Nsit Ibom,NG003020,Nsit Ibom,NG003,Nigeria,NG,NSIT IBOM,42.1,5.3,52.6
513,Nsit Ubium,NG003021,Nsit Ubium,NG003,Nigeria,NG,NSIT UBIUM,38.9,55.6,5.6
514,Nsukka,NG014013,Nsukka,NG014,Nigeria,NG,NSUKKA,38.1,38.1,23.8
515,Numan,NG002016,Numan,NG002,Nigeria,NG,NUMAN,50,22.2,27.8
516,Nwangele,NG017015,Nwangele,NG017,Nigeria,NG,NWANGELE,40,15,45
517,Obafemi-Owode,NG028015,Obafemi-Owode,NG028,Nigeria,NG,OBAFEMI-OWODE,22.2,44.4,33.3
518,Obanliku,NG009013,Obanliku,NG009,Nigeria,NG,OBANLIKU,71.4,21.4,7.1
519,Obi,NG026011,Obi,NG026,Nigeria,NG,OBI,26.7,53.3,20
520,Obi Ngwa,NG001009,Obi Ngwa,NG001,Nigeria,NG,OBI NGWA,9.1,45.5,45.5
521,Obi,NG007014,Obi,NG007,Nigeria,NG,OBI,25,50,25
522,Obia/Akpor,NG033015,Obia/Akpor,NG033,Nigeria,NG,OBIA/AKPOR,62.5,6.3,31.3
523,Obokun,NG030024,Obokun,NG030,Nigeria,NG,OBOKUN,50,12.5,37.5
524,Obot Akara,NG003022,Obot Akara,NG003,Nigeria,NG,OBOT AKARA,37.5,43.8,18.8
525,Obowo,NG017016,Obowo,NG017,Nigeria,NG,OBOWO,46.7,33.3,20
526,Obubra,NG009014,Obubra,NG009,Nigeria,NG,OBUBRA,60,6.7,33.3
527,Obudu,NG009015,Obudu,NG009,Nigeria,NG,OBUDU,50,30,20
528,Odeda,NG028016,Odeda,NG028,Nigeria,NG,ODEDA,47.4,36.8,15.8
529,Odigbo,NG029013,Odigbo,NG029,Nigeria,NG,ODIGBO,27.3,18.2,54.5
530,Odo-Otin,NG030025,Odo-Otin,NG030,Nigeria,NG,ODO-OTIN,33.3,44.4,22.2
531,Odogbolu,NG028017,Odogbolu,NG028,Nigeria,NG,ODOGBOLU,55.6,27.8,16.7
532,Odukpani,NG009016,Odukpani,NG009,Nigeria,NG,ODUKPANI,32,28,40
533,Offa,NG024013,Offa,NG024,Nigeria,NG,OFFA,40.9,22.7,36.4
534,Ofu,NG023014,Ofu,NG023,Nigeria,NG,OFU,50,43.8,6.3
535,Ogba/Egbema/Ndoni,NG033016,Ogba/Egbema/Ndoni,NG033,Nigeria,NG,OGBA/EGBEMA/NDONI,23.1,30.8,46.2
536,Ogbadibo,NG007015,Ogbadibo,NG007,Nigeria,NG,OGBADIBO,20,66.7,13.3
537,Ogbaru,NG004016,Ogbaru,NG004,Nigeria,NG,OGBARU,15.8,36.8,47.4
538,Ogbia,NG006005,Ogbia,NG006,Nigeria,NG,OGBIA,45.5,27.3,27.3
539,Ogbomosho North,NG031021,Ogbomosho North,NG031,Nigeria,NG,OGBOMOSHO NORTH,42.9,42.9,14.3
540,Ogbomosho South,NG031022,Ogbomosho South,NG031,Nigeria,NG,OGBOMOSHO SOUTH,47.6,28.6,23.8
541,Ogo Oluwa,NG031023,Ogo Oluwa,NG031,Nigeria,NG,OGO OLUWA,40,35,25
542,Ogoja,NG009017,Ogoja,NG009,Nigeria,NG,OGOJA,50,40,10
543,Ogori/Magongo,NG023015,Ogori/Magongo,NG023,Nigeria,NG,OGORI/MAGONGO,52.6,21.1,26.3
544,Ogu/Bolo,NG033017,Ogu/Bolo,NG033,Nigeria,NG,OGU/BOLO,17.6,35.3,47.1
545,Ogun waterside,NG028018,Ogun waterside,NG028,Nigeria,NG,OGUN WATERSIDE,18.2,54.5,27.3
546,Oguta,NG017017,Oguta,NG017,Nigeria,NG,OGUTA,35.3,11.8,52.9
